posture,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
Prone,0.02,-0.05,-1.05,-8.97,3.42,-2.75,0.73,35.45,53.44
Prone,0.17,-0.12,-0.96,0.92,-1.53,-5.86,-4.06,36.84,54.32
Prone,0.1,-0.06,-1.03,2.81,2.14,1.95,-4.06,36.84,54.32
Prone,0.05,-0.03,-0.95,-0.61,-3.3,4.27,-4.06,36.84,54.32
Prone,0.03,0,-1.07,1.95,4.33,4.27,-4.06,36.84,54.32
Prone,0.06,-0.01,-0.96,0.18,-1.22,2.81,-4.06,36.84,54.32
Prone,0.06,-0.05,-0.99,-0.12,-0.73,2.08,-3.72,36.79,54.94
Prone,0.02,-0.04,-0.99,0.61,0.18,13.37,-1.25,33.47,53.72
Prone,0,-0.13,-1.04,1.65,-5.19,-9.09,0.34,42.74,60.06
Prone,0.01,-0.05,-0.98,8,-9.52,2.87,0.34,42.74,60.06
Prone,0.02,-0.05,-0.98,1.53,0.49,6.41,-9.39,48.82,56.68
Prone,0.01,0.14,-1.07,-9.34,7.45,8.18,-9.39,48.82,56.68
Prone,0.03,0.03,-0.98,-5.19,0.43,-4.88,-8.83,48.56,57.07
Prone,0.02,0.01,-1.03,-4.15,1.04,-10.99,-8.83,48.56,57.07
Prone,0.01,0,-1.04,1.4,2.01,-2.32,-3.52,46.01,57.53
Prone,0.03,0.02,-0.97,-3.36,-1.95,-1.34,-3.52,46.01,57.53
Prone,0.03,0.2,-1.01,1.46,-0.18,-30.58,21.46,24.67,53.86
Prone,-0.04,-0.18,-1.01,1.1,0.49,-20.63,6.07,34.9,55.16
Prone,0.01,-0.06,-0.98,0.12,-0.55,34.06,7.36,35,54.52
Prone,0.01,-0.08,-0.99,0.18,0.24,36.68,8.36,35.21,54.49
Prone,0.04,0.15,-1.06,5.86,6.65,27.95,9.67,32.13,54.42
Prone,0.03,0.09,-1.02,-3.3,1.46,14.4,9.67,32.13,54.42
Prone,0.05,0.12,-1.03,3.6,2.08,21.18,10.02,31.36,54.09
Prone,0.03,-0.09,-0.94,-3.05,-6.47,6.16,13.05,29.17,54.35
Prone,0.02,-0.07,-1.06,1.04,2.32,15.14,13.55,28.83,54.83
Prone,0.03,0.32,-1.01,2.44,-0.24,49.19,14.11,28.82,54.02
Prone,0.02,-0.01,-1.06,0.12,1.95,-1.22,14.06,28.33,54.43
Prone,-0.08,-0.2,-1.09,-4.64,4.52,102.84,-9.35,-9.62,55.58
Prone,-0.03,-0.2,-0.96,0,0.55,123.41,-11.35,-9,55.14
Prone,0.01,0,-1.03,-6.84,-8.36,62.5,-19.63,-2.37,56.36
Prone,-0.05,-0.03,-0.98,-7.81,-10.62,60.24,-20.2,-0.67,55.59
Prone,0.04,-0.02,-0.99,-11.66,-7.81,0.06,-20.54,1.04,56.4
Prone,0.05,-0.03,-0.99,-5.25,-3.91,-7.81,-19.47,1.66,57.53
Prone,0.02,-0.06,-1.04,0.92,-1.53,-99.73,-18.79,-1.38,57.43
Prone,0.03,-0.1,-0.96,9.03,0.18,-76.42,-17.18,-2.51,56.47
Prone,0.02,-0.06,-1.06,-0.79,-0.55,-39.18,-15.82,-4.8,55.58
Prone,0.02,-0.04,-1.04,-2.56,-0.55,-37.96,-15.82,-4.8,55.58
Prone,0.03,0.08,-0.96,10.8,-1.4,-57.62,-15.52,-5.18,56.25
Prone,0.01,0.17,-1.05,13.12,5,-86.18,-15.52,-5.18,56.25
Prone,0.01,0.08,-1.03,6.59,-1.53,-122.62,-15.52,-5.18,56.25
Prone,0.02,-0.05,-0.97,-0.06,-1.53,-85.21,-6.35,-8.94,55.63
Prone,0,-0.1,-1.04,-4.27,3.54,-78.19,-6.35,-8.94,55.63
Prone,0.03,-0.08,-0.98,-39.06,-3.3,-63.78,-2.99,-9.3,57.34
Prone,0.02,-0.06,-1.05,-45.41,-0.98,-64.03,-1.68,-7.56,56.84
Prone,0.02,-0.21,-0.98,-36.07,-9.95,-64.82,-1.68,-7.56,56.84
Prone,0.02,-0.21,-0.96,-22.28,-7.2,-22.28,-0.82,-6.68,57.62
Prone,0.04,-0.18,-0.97,-16.54,-0.85,-8.36,0.15,-4.99,59.16
Prone,0.03,-0.15,-1.03,-15.75,2.08,-8.42,0.15,-4.99,59.16
Prone,0.04,-0.23,-0.98,-44.56,-15.32,-31.13,1.12,-2.69,59.7
Prone,0.05,-0.28,-0.96,-48.03,-10.99,-25.21,2.38,-1.2,60.83
Prone,0.05,-0.29,-0.96,-48.34,-9.28,-23.93,2.38,-1.2,60.83
Prone,0.05,-0.3,-0.96,-48.77,-7.87,-21.97,2.38,-1.2,60.83
Prone,0.05,-0.31,-0.96,-50.48,-6.47,-19.47,2.38,-1.2,60.83
Prone,0.06,-0.31,-0.94,-52,-5.68,-16.97,2.4,1.22,60.29
Prone,0.06,-0.36,-0.82,-34.48,-6.1,-17.88,2.4,1.22,60.29
Prone,0.05,-0.37,-0.85,-1.16,3.72,-17.09,2.4,1.22,60.29
Prone,0.04,-0.34,-0.96,17.27,16.17,-11.29,2.4,1.22,60.29
Prone,0.04,-0.3,-0.99,29.66,16.91,-7.26,2.4,1.22,60.29
Prone,0.05,-0.26,-0.97,30.64,13.24,-6.29,2.4,1.22,60.29
Prone,0.04,-0.26,-0.98,25.39,13,-9.4,1.93,0.62,59.05
Prone,0.03,-0.28,-1,17.15,9.64,-15.2,1.93,0.62,59.05
Prone,0.03,-0.2,-1.06,-5.8,3.6,-17.27,1.93,0.62,59.05
Prone,0.03,-0.25,-1.05,-22.28,-4.33,-25.21,1.93,0.62,61.8
Prone,0.02,-0.29,-1.04,-40.41,-12.08,-29.66,1.94,0.81,61.8
Prone,0.02,-0.3,-0.98,-55.3,-20.26,-28.75,1.94,0.81,61.8
Prone,0.05,-0.37,-0.9,-57.07,-17.58,-30.33,1.94,0.81,61.8
Prone,0.05,-0.4,-0.9,-50.23,-13.31,-28.5,3.59,3.66,61.57
Prone,0.04,-0.41,-0.9,-3.97,0.31,-11.35,3.59,3.66,61.57
Prone,0.04,-0.39,-0.91,10.99,7.69,-2.99,3.7,4.65,60.86
Prone,0.03,-0.39,-0.91,18.86,10.68,-2.99,3.7,4.65,60.86
Prone,0.03,-0.37,-0.92,34.3,18.49,2.99,2.7,3.7,60.66
Prone,0.02,-0.36,-0.93,37.48,22.09,4.64,2.7,3.7,60.66
Prone,0.02,-0.36,-0.95,40.89,24.41,6.59,2.7,3.7,60.66
Prone,0.01,-0.35,-0.94,43.95,25.02,9.22,2.7,3.7,60.66
Prone,0.01,-0.34,-0.93,45.65,26.86,12.63,2.7,3.7,60.66
Prone,0.01,-0.33,-0.94,47.79,29.97,15.81,2.7,3.7,60.66
Prone,0.01,-0.33,-0.91,52.25,32.17,17.09,2.7,3.7,60.66
Prone,0.01,-0.32,-0.93,52.25,34.61,18.01,1.71,0.82,59.81
Prone,-0.02,-0.24,-1.01,63.29,30.94,19.71,1.71,0.82,59.81
Prone,-0.08,-0.33,-0.95,47.55,21.67,-17.33,0.26,-1.25,59.59
Prone,-0.05,-0.34,-0.95,28.08,25.88,-23.19,0.26,-1.25,59.59
Prone,-0.08,-0.32,-1.05,-23.19,5.62,-23.32,-0.32,-2.86,59.58
Prone,-0.02,-0.24,-1.02,-51.94,-3.36,-18.07,-0.32,-2.86,59.58
Prone,-0.02,-0.18,-1.02,-75.81,-4.46,-14.77,-0.32,-2.86,59.58
Prone,-0.02,-0.12,-0.9,-58.41,-15.32,-6.84,0.78,-0.63,60.22
Prone,-0.05,-0.17,-0.91,-30.21,-15.32,-6.84,0.78,-0.63,60.22
Prone,-0.04,-0.25,-0.93,-8.91,-4.58,-2.93,0.78,-0.63,60.22
Prone,-0.04,-0.33,-0.96,10.31,5.68,2.38,0.78,-0.63,60.22
Prone,-0.04,-0.29,-0.95,11.6,8.18,10.31,0.78,-0.63,60.22
Prone,-0.03,-0.26,-0.94,15.2,11.54,16.54,0.48,-1.03,59.07
Prone,-0.03,-0.23,-0.94,23.74,15.5,16.11,0.48,-1.03,59.07
Prone,-0.07,-0.24,-1.08,33.75,17.52,11.72,0.48,-1.03,59.07
Prone,-0.05,-0.22,-1.03,31.92,7.08,9.7,0.48,-1.03,59.07
Prone,-0.01,-0.16,-0.88,-15.75,-0.37,19.29,0.17,-1.39,60.28
Prone,-0.07,-0.37,-0.96,9.34,7.93,12.39,0.17,-1.39,60.28
Prone,-0.05,-0.25,-0.91,4.09,1.16,-2.2,0.17,-1.39,60.28
Prone,-0.06,-0.25,-1.04,4.09,1.16,13.43,0.17,-1.39,60.28
Prone,-0.01,-0.23,-0.93,-0.43,0.98,1.46,-0.16,-1.84,59.11
Prone,-0.03,-0.22,-1,2.01,1.83,2.62,-0.16,-1.84,59.11
Prone,-0.06,-0.24,-0.98,0.37,-1.16,-6.23,-0.27,-1.9,59.97
Prone,-0.08,-0.25,-0.97,-0.31,-3.42,-14.53,0.62,-1.34,58.96
Prone,-0.04,-0.17,-0.98,39.25,-3.6,-27.04,1.45,-1.93,59.8
Prone,-0.07,0,-1.06,81.54,2.87,-63.96,4.74,-9.14,55.05
Prone,-0.06,0.05,-1.07,53.83,2.2,-65.92,4.74,-9.14,55.05
Prone,-0.05,-0.01,-0.99,-24.96,-8.79,-97.53,4.74,-9.14,55.05
Prone,-0.06,-0.06,-1.04,6.84,0.12,-80.75,6.87,-7.92,55.22
Prone,-0.06,-0.04,-1.04,4.39,-4.33,-74.52,6.87,-7.92,55.22
Prone,-0.02,-0.01,-0.98,0.49,-7.93,-71.41,10.99,-7.12,56.1
Prone,-0.02,-0.01,-0.97,0.18,-4.03,-74.16,12.4,-6.74,56.29
Prone,-0.04,-0.04,-1.04,-0.73,-1.46,-57.86,12.61,-5.85,56.04
Prone,0,-0.13,-0.89,1.65,-27.71,-54.14,14.11,-4.72,54.86
Prone,-0.01,-0.06,-0.88,-8,-15.81,-40.95,14.11,-4.72,54.86
Prone,-0.02,0.02,-1.07,2.99,-41.44,-130.25,19.25,1.44,55.26
Prone,-0.01,0.04,-0.74,9.77,-50.54,-135.07,19.25,1.44,55.26
Prone,0.04,0.01,-0.88,9.52,-16.78,-135.31,19.25,1.44,55.26
Prone,-0.01,-0.04,-1.11,-0.67,11.05,-140.32,20.95,3.78,55.79
Prone,0.02,-0.14,-0.94,2.69,-8.42,-121.22,20.95,3.78,55.79
Prone,0,-0.07,-0.97,17.46,3.78,-151.92,22.47,10.63,55.15
Prone,-0.01,0.18,-0.91,79.9,21.42,-7.63,20.94,11.23,56.59
Prone,-0.03,0.18,-0.91,79.9,-7.02,-4.27,20.94,11.23,56.59
Prone,-0.04,0.25,-0.94,8.85,5.13,-15.01,20.58,10.07,55.49
Prone,0.01,0.19,-0.94,17.33,-4.15,-48.16,20.73,11.13,55.94
Prone,0.02,0.15,-0.94,11.47,0.49,-45.53,20.73,11.13,55.94
Prone,0.01,0.17,-1.01,-0.98,7.51,-26.18,20.73,11.13,55.94
Prone,0,0.27,-0.99,2.01,5.37,-28.69,20.15,12.87,56.36
Prone,0.01,0.26,-0.94,3.78,5.31,-36.01,20.15,12.87,56.36
Prone,0.01,0.19,-0.97,1.83,17.64,-83.5,18.15,15.55,55.91
Prone,0,0.25,-0.98,0.37,19.29,-86.36,18.15,15.55,55.91
Prone,-0.04,0.31,-0.96,0.92,-7.81,34.67,9.81,23.99,57.26
Prone,-0.02,0.33,-0.96,0.92,-6.29,34.67,11.07,23.06,58.54
Prone,-0.02,0.37,-0.95,0.79,-4.52,25.57,11.07,23.06,58.54
Prone,-0.01,0.35,-0.96,0.79,-2.01,13.43,11.07,23.06,58.54
Prone,0.01,0.21,-1.01,-0.18,1.28,0.55,10.96,23.32,58.5
Prone,0.02,0.18,-0.92,0.79,0.92,-1.04,10.96,23.32,58.5
Prone,0.01,0.2,-1.03,0.49,0.49,-1.22,11.24,23.43,57.35
Prone,0.02,0.17,-0.94,0.73,-3.91,-0.67,11.24,23.43,57.35
Prone,0.02,0.19,-0.93,0.37,0.06,2.44,11.24,23.43,57.35
Prone,0,0.23,-1.06,-1.59,6.53,5.37,11.24,23.43,57.35
Prone,0.01,0.21,-0.95,-2.93,3.23,2.99,11.18,23.8,58.37
Prone,-0.01,0.24,-1.02,-14.34,17.27,-15.14,11.18,23.8,58.37
Prone,-0.02,0.23,-1.02,-10.68,15.69,-26.06,10.14,24.05,58.02
Prone,-0.02,0.23,-1.01,-4.52,10.93,-32.84,10.14,24.05,58.02
Prone,-0.01,0.21,-0.96,0.18,7.81,-40.22,10.14,24.05,58.02
Prone,0,0.21,-0.95,-2.62,11.35,-44.98,8.9,24.98,58.86
Prone,-0.01,0.23,-0.97,-8.61,17.58,-49.87,8.9,24.98,58.86
Prone,-0.03,0.24,-1.03,-13.73,22.34,-78.67,8.9,24.98,58.86
Prone,0,0.09,-0.96,-47.3,5.86,-96.62,7.52,26.29,58.54
Prone,0,0.04,-0.98,-43.95,11.78,-93.63,5.94,29.41,57.08
Prone,-0.01,0.04,-1.04,-17.46,14.1,-61.16,5.94,29.41,57.08
Prone,-0.09,0.13,-1.13,51.7,17.27,-39.43,3.2,28.64,57.43
Prone,0,0.23,-0.95,-14.04,-3.48,6.65,-18.57,23.3,57.86
Prone,0.01,0.13,-1.03,-30.33,0.61,-3.48,-18.09,24.51,57.01
Prone,0.02,0.11,-0.97,-72.2,-9.52,1.89,-18.09,24.51,57.01
Prone,0.02,0.08,-0.96,-78.31,-7.08,2.2,-18.35,26.27,56.65
Prone,0.02,0.01,-0.91,-0.92,0.85,4.09,-16.92,30.37,55.19
Prone,0.01,-0.01,-1.11,-5.07,7.63,3.48,-16.92,30.37,55.19
Prone,0.02,-0.01,-0.94,-3.36,1.59,1.53,-16.92,30.37,55.19
Prone,-0.04,-0.05,-1.04,-4.94,28.44,5.37,-19.42,32.32,54.7
Prone,-0.04,-0.04,-0.98,-2.93,25.51,7.81,-19.42,32.32,54.7
Prone,-0.03,0,-0.88,75.2,0.85,-0.92,-17.36,28.25,55.32
Prone,-0.06,-0.04,-0.98,10.25,20.57,-36.87,-29.04,21.55,54.55
Prone,-0.09,-0.15,-1.01,5,1.59,-40.89,-30.02,20.03,53.56
Prone,-0.13,-0.12,-1.01,1.65,-0.43,-37.9,-30.02,20.03,53.56
Prone,-0.07,-0.07,-1.06,5.92,-14.59,-6.65,-31.19,17.24,53.31
Prone,-0.27,0.18,-0.99,-4.64,0.12,0.92,-30.93,17.57,54.66
Prone,0.13,-0.1,-1.02,34.67,2.38,-63.72,-30.93,17.57,54.66
Prone,-0.05,-0.1,-0.96,-19.96,1.46,-34,-31.18,18.25,55.24
Prone,-0.05,-0.09,-1.02,-31.68,-9.34,-36.19,-31.18,18.25,55.24
Prone,-0.07,-0.06,-0.99,-16.05,-3.17,-22.16,-31.18,18.25,55.24
Prone,-0.04,-0.39,-0.99,18.25,-5.92,-11.05,-31.03,17.91,53.03
Prone,-0.02,-0.05,-1.04,8.61,4.52,-18.19,-32.12,12.17,52.93
Prone,-0.07,-0.17,-0.98,6.59,17.4,-72.88,-32.23,10.27,53.67
Prone,-0.14,-0.01,-0.99,-1.16,8.42,-78.43,-32.63,7.47,53.56
Prone,-0.12,0.03,-0.99,4.39,6.71,-73.49,-32.63,7.47,53.56
Prone,-0.09,-0.01,-0.96,11.35,4.15,-72.39,-31.98,4.53,53.06
Prone,-0.09,-0.07,-0.99,8.91,-7.39,-74.16,-31.98,4.53,53.06
Prone,-0.09,-0.06,-0.99,6.77,-10.56,-72.33,-31.15,2.42,52.48
Prone,-0.07,0.06,-1.06,-0.12,-9.89,-47.97,-26.97,-1.97,55.16
Prone,-0.12,0.08,-1.08,-1.4,-12.21,-36.93,-23.91,-5.09,54.16
Prone,-0.15,0.02,-1.01,30.94,-17.09,128.54,-25.74,23.05,56.52
Prone,-0.06,0.19,-0.96,-1.59,-3.23,60,-20.31,26.66,57.43
Prone,-0.05,0.21,-0.95,-0.61,8.06,6.04,-11.46,29.88,57.74
Prone,-0.14,0.04,-1.01,0.37,-0.49,3.54,-9.85,29.8,57.42
Prone,-0.05,-0.05,-1.02,20.69,3.23,10.56,-6.49,35.64,54.52
Prone,-0.14,0.26,-0.97,3.3,-5.92,47.67,17.49,-2,53.66
Prone,0.04,-0.32,-1.12,82.64,-15.56,62.38,-24.06,16.37,54.77
Prone,-0.01,0.17,-0.95,14.04,-4.64,-32.47,-23.77,11.96,56.36
Prone,0.01,0.14,-1.04,3.42,3.85,-26.73,-23.35,10.66,55.04
Prone,-0.09,0.28,-0.97,0.55,-0.18,3.72,-23.4,8.25,55.92
Prone,0.07,0.17,-0.99,0.49,3.05,-9.7,-23.4,8.25,55.92
Prone,0.05,-0.1,-0.87,-0.67,8.48,-30.33,-23.74,7.64,56.24
Prone,0.13,-0.13,-1.02,-31.01,22.09,32.78,-24.22,8.26,56.14
Prone,-0.05,0.28,-0.97,-34.79,21,74.52,-24.22,8.26,56.14
Prone,-0.11,0.2,-1.01,-9.52,6.65,5.31,-24.77,10.99,55.05
Prone,-0.01,-0.03,-1.06,-76.17,-0.73,-16.05,-25.99,14.6,53.97
Prone,-0.04,-0.2,-0.97,-119.14,-12.15,-35.64,-26.45,22.46,52.77
Prone,0.07,-0.16,-1.06,-101.93,-22.34,-32.65,-26.45,22.46,52.77
Prone,0.01,-0.28,-0.98,-81.05,-43.95,-32.17,-26.45,22.46,52.77
Prone,-0.08,-0.24,-0.96,-81.67,-45.84,-30.27,-26.45,22.46,52.77
Prone,-0.03,-0.27,-0.96,-72.57,-39.37,-21.06,-26.45,22.46,53.21
Prone,-0.05,-0.31,-0.9,-72.57,-28.44,-5.62,-23.89,24.04,53.21
Prone,-0.04,-0.44,-0.78,-58.53,-28.44,-5.62,-23.89,24.04,53.21
Prone,-0.09,-0.52,-0.79,-30.64,-13.24,1.4,-23.89,24.04,53.21
Prone,0.02,-0.05,-0.89,-1.65,3.17,11.29,-23.89,24.04,53.21
Prone,-0.09,-0.39,-0.85,30.27,21,20.26,-23.89,24.04,53.21
Prone,-0.09,-0.28,-0.92,54.75,31.01,17.64,-23.89,24.04,53.21
Prone,-0.04,-0.25,-1,70.98,41.32,27.1,-25.32,23.56,53.49
Prone,-0.05,-0.19,-1.04,66.71,39.18,27.95,-25.32,23.56,53.49
Prone,-0.04,-0.21,-1.05,44.86,27.22,22.28,-25.32,23.56,53.49
Prone,-0.05,-0.24,-1.05,14.95,9.7,11.35,-25.55,22.36,53.23
Prone,-0.03,-0.25,-0.96,-6.71,0.06,4.03,-25.55,22.36,53.23
Prone,-0.04,-0.27,-0.95,-1.95,0.06,4.03,-25.55,22.36,53.23
Prone,-0.05,-0.3,-0.95,3.3,2.62,4.58,-25.55,22.36,53.23
Prone,-0.08,-0.3,-1.03,10.25,7.14,10.19,-25.71,22.46,53.08
Prone,-0.05,-0.32,-0.94,-0.24,4.15,16.66,-25.71,22.46,53.08
Prone,0,-0.36,-0.99,4.88,8.12,23.8,-25.71,22.46,53.08
Prone,-0.01,-0.36,-0.97,1.1,4.82,17.94,-25.71,22.46,53.08
Prone,-0.01,-0.36,-0.96,-8.42,-1.34,10.68,-25.29,22.99,53.96
Prone,-0.06,-0.28,-0.96,-10.38,-1.4,14.1,-25.29,22.99,53.96
Prone,-0.02,-0.23,-1.01,-9.34,-3.17,3.97,-25.42,23.43,53.19
Prone,-0.01,-0.31,-0.98,-22.4,-11.41,-5.86,-25.42,23.43,53.19
Prone,-0.03,-0.32,-0.94,-20.51,-12.45,-11.05,-24.87,24,52.78
Prone,-0.02,-0.34,-0.94,-14.28,-8.61,-7.51,-24.87,24,52.78
Prone,-0.06,-0.3,-0.93,-10.01,-6.23,-5.49,-24.87,24,52.78
Prone,-0.02,-0.34,-0.97,-2.44,-2.5,-5.13,-24.65,24.54,54.09
Prone,-0.01,-0.35,-0.97,-7.75,-3.97,-1.53,-24.65,24.54,54.09
Prone,0.02,-0.33,-0.98,-9.03,-4.52,-1.89,-24.65,24.54,54.09
Prone,-0.01,-0.32,-0.97,-12.57,-7.08,-4.7,-24.65,24.54,54.09
Prone,-0.02,-0.26,-0.95,-12.02,-6.1,-2.62,-24.34,24.62,53.54
Prone,-0.07,-0.25,-0.96,-6.16,-2.81,-0.67,-24.34,24.62,53.54
Prone,-0.02,-0.32,-0.97,2.75,2.38,3.6,-24.08,24.6,53.1
Prone,-0.02,-0.33,-0.96,0.31,1.53,4.52,-24.08,24.6,53.1
Prone,-0.02,-0.3,-0.93,0.06,1.71,4.94,-24.08,24.6,53.1
Prone,0,-0.31,-0.88,4.88,3.78,3.48,-24.08,24.6,53.1
Prone,-0.01,-0.31,-0.92,22.03,9.83,-1.77,-24.05,24.3,53.23
Prone,-0.02,-0.31,-0.94,33.45,14.95,-2.93,-24.05,24.3,53.23
Prone,-0.02,-0.29,-0.96,39.25,17.7,-3.17,-24.05,24.3,53.23
Prone,-0.03,-0.29,-0.98,41.93,18.62,-4.52,-24.05,24.3,53.23
Prone,-0.03,-0.28,-1.05,32.04,14.59,-3.3,-24.74,23.23,54.52
Prone,0,-0.33,-0.98,17.27,6.9,-3.42,-24.74,23.23,54.52
Prone,-0.01,-0.32,-0.96,-0.24,-3.36,-14.65,-25.63,22.58,53.56
Prone,-0.05,-0.23,-0.99,-0.24,-2.69,-12.57,-25.83,22.28,53.34
Prone,-0.09,-0.26,-0.98,0.98,1.71,5.07,-25.76,22.22,53.19
Prone,-0.09,-0.25,-0.98,0.92,3.42,11.96,-25.76,22.22,53.19
Prone,-0.1,-0.26,-0.97,0.92,3.42,17.21,-25.76,22.22,53.19
Prone,-0.09,-0.28,-0.97,1.65,4.7,17.21,-25.76,22.22,53.19
Prone,-0.06,-0.32,-0.97,1.65,6.65,25.39,-25.76,22.22,53.19
Prone,-0.05,-0.28,-0.97,1.28,4.82,16.72,-25.93,23.38,54.06
Prone,-0.07,-0.26,-0.97,1.95,5.8,20.94,-25.99,24.1,52.29
Prone,-0.02,-0.26,-1.01,1.65,6.77,23.86,-25.68,24.82,52.44
Prone,-0.05,-0.24,-1,1.83,6.29,23.01,-25.68,24.82,52.44
Prone,-0.02,-0.24,-0.97,0.12,1.1,2.62,-25.96,25.32,51.82
Prone,-0.08,-0.27,-0.97,0.24,0.85,2.2,-25.57,25.4,52.33
Prone,-0.06,-0.28,-0.97,0.85,2.56,9.58,-25.16,25.1,51.5
Prone,-0.03,-0.26,-0.97,1.28,4.88,16.48,-24.35,25.33,52.01
Prone,-0.02,-0.26,-0.98,1.16,4.03,13.24,-24.35,25.33,52.01
Prone,-0.03,-0.27,-0.98,1.04,2.26,7.69,-24.94,26.44,52
Prone,-0.04,-0.24,-1,-29.36,-0.24,1.77,-25.9,25.28,52.11
Prone,-0.04,-0.26,-1,-29.17,-0.24,1.59,-25.24,26.26,51.56
Prone,-0.05,-0.26,-1,-1.34,0.67,0.55,-25.24,26.26,51.56
Prone,-0.04,-0.25,-0.95,1.4,0.55,0.61,-25.24,25.76,51.67
Prone,-0.05,-0.28,-0.95,12.94,5.19,16.48,-25.29,25.5,51.7
Prone,-0.05,-0.31,-0.98,14.34,6.1,20.02,-25.29,25.5,51.7
Prone,-0.03,-0.26,-0.99,42.18,23.74,102.42,-23.56,29.91,50.55
Prone,-0.05,-0.07,-1.06,22.09,-0.92,-25.82,-29.92,10.82,55.59
Prone,-0.06,-0.11,-1.04,-27.65,-3.05,-26.18,-29.92,10.82,55.59
Prone,-0.06,-0.18,-1.06,-51.45,-3.78,-23.86,-29.92,10.82,55.59
Prone,-0.06,-0.17,-1.06,-86.24,-4.27,-14.1,-29.97,10.58,56.03
Prone,-0.07,-0.17,-1.07,-128.3,-4.21,-1.34,-29.97,10.58,56.03
Prone,-0.05,-0.17,-1.03,-164.55,-4.58,6.35,-29.97,10.58,56.03
Prone,-0.05,-0.2,-1.01,-191.04,-5.13,8.24,-29.97,10.58,56.03
Prone,-0.23,0,-0.72,-203.19,-9.89,9.46,-29.97,10.58,56.03
Prone,0,-0.37,-1.08,52.12,10.56,23.25,-29.8,14.64,55.21
Prone,-0.04,-0.59,-0.97,-27.89,-1.4,0.06,-29.8,14.64,55.21
Prone,-0.03,-0.27,-1.03,14.77,3.05,-0.61,-29.8,14.64,55.21
Prone,-0.05,-0.37,-0.97,-11.11,-0.67,-2.81,-29.49,15.42,55.19
Prone,-0.06,-0.22,-0.98,20.02,-5.74,-28.63,-29.49,15.42,55.19
Prone,-0.08,-0.23,-0.98,15.38,-5.86,-29.48,-29.74,14.62,55.42
Prone,-0.09,-0.21,-0.98,13.98,-5.49,-28.14,-29.74,14.62,55.42
Prone,-0.04,-0.22,-0.99,19.96,-0.55,-8.54,-29.47,13.21,56.14
Prone,-0.05,-0.21,-0.99,27.95,1.34,-0.24,-29.25,12.74,57.35
